gene_symbol,Steap3
parameter_name,Center average speed
parameter_id,JAXLA_OFD_017_001
gene_accession_id,MGI:1915678
pvalue,0.6697101
mouse_life_stage,Early adult
analysis_id,9fug712b93zr8hb
mouse_strain,C57BL
