analysis_id,ug4r5881z77ankk
gene_symbol,Bmi1
pvalue,0.891237
parameter_name,Pupil Dilation
parameter_id,IMPC_EYE_013_001
mouse_life_stage,E15.5
gene_accession_id,MGI:88174
mouse_strain,C57BL
