parameter_name,Ulna
mouse_strain,C57BL
mouse_life_stage,E12.5
parameter_id,IMPC_XRY_023_001
pvalue,0.9837952
gene_accession_id,MGI:2444554
gene_symbol,Mapkap1
analysis_id,pgu2vbn65djat6y
