analysis_id,0m5xc8g9vt64di9
mouse_life_stage,Early adult
gene_symbol,Hspa5
parameter_name,Snout size
mouse_strain,C57BL
gene_accession_id,MGI:95835
parameter_id,IMPC_CSD_028_001
pvalue,0.5917754
