parameter_id,IMPC_IMM_025_001
pvalue,0.328827
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
parameter_name,DN CD25- NKT cells
gene_symbol,Dmap1
mouse_strain,C57BL
analysis_id,b9q168to3g50fci
