parameter_name,Hemoglobin
parameter_id,IMPC_HEM_003_001
analysis_id,6s3e517f5mx6552
gene_symbol,Dhdds
gene_accession_id,MGI:1914672
mouse_strain,C57BL
pvalue,0.6483066
mouse_life_stage,Early adult
