gene_symbol,Plcb1
parameter_name,cDCs CD11b Type
parameter_id,IMPC_IMM_073_001
gene_accession_id,MGI:97613
analysis_id,k6856v527d72pv6
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.9807566
