parameter_name,B1B Cells
mouse_life_stage,Early adult
analysis_id,8vb84g8j41v6i0q
parameter_id,IMPC_IMM_064_001
mouse_strain,C57BL
gene_symbol,Arpc2
gene_accession_id,MGI:1923959
pvalue,0.7831348
