analysis_id,97e122dh7d07j3g
gene_symbol,Usp37
mouse_strain,C57BL
pvalue,0.9814729
parameter_name,HR
parameter_id,JAXLA_ECG_002_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2442483
