gene_symbol,Nr0b2
mouse_life_stage,Early adult
analysis_id,fr5h692g2k2908n
mouse_strain,B6J
pvalue,0.2241962
parameter_name,% Freezing duration habituation-1
gene_accession_id,MGI:1346344
parameter_id,ICS_FEA_016_001
