gene_symbol,Zcchc2
parameter_name,KLRG1+ mature NK cell percentage
pvalue,0.4427917
mouse_strain,C57BL
analysis_id,e9q9075e3onfx0p
parameter_id,MGP_PBI_011_001
gene_accession_id,MGI:2444114
mouse_life_stage,Early adult
