analysis_id,9go43wn6w5n07ed
gene_accession_id,MGI:1924054
mouse_life_stage,Early adult
gene_symbol,Kdm4c
mouse_strain,C57BL
parameter_name,Periphery resting time
parameter_id,HRWLLA_OFD_011_001
pvalue,0.7337905
