analysis_id,w02877dm8ng9f6j
mouse_life_stage,Early adult
pvalue,0.6673727
mouse_strain,C57BL
gene_symbol,Trp53i11
parameter_id,IMPC_EYE_001_001
parameter_name,Eye
gene_accession_id,MGI:2670995
