parameter_name,ST
pvalue,0.1669196
mouse_life_stage,Late adult
gene_accession_id,MGI:2446186
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
gene_symbol,Lpgat1
analysis_id,8k55jmm155m742t
