analysis_id,16x9o49yy35w49s
parameter_name,Effector CD8+ T cells - % of CD8+
mouse_strain,C57BL
gene_symbol,Cisd2
pvalue,0.10348
parameter_id,MGP_MLN_013_001
gene_accession_id,MGI:1914256
mouse_life_stage,Early adult
