parameter_id,TCPLA_GRS_011_001
mouse_life_stage,Early adult
pvalue,0.8186975
mouse_strain,129SV
analysis_id,98f29eau3c4b4wb
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
