parameter_name,Respiration Rate
pvalue,0.2741524
gene_symbol,Zfp683
parameter_id,IMPC_ECH_018_001
gene_accession_id,MGI:3650254
mouse_strain,C57BL
analysis_id,a1131sjpd9e8ow2
mouse_life_stage,Early adult
