Analysis_id,803zl472o05rwfv
Mouse_strain,C57BL
Parameter_id,IMPC_XRY_002_001
Gene_symbol,Cdin1
Gene_accession_id,MGI:3026886
Pvalue,0.2506355
Mouse_life_stage,Early adult
Parameter_name,Zygomatic bone
