parameter_name,Shape of ribcage
mouse_life_stage,E15.5
parameter_id,IMPC_XRY_059_001
mouse_strain,C57BL
gene_symbol,Mapkap1
gene_accession_id,MGI:2444554
analysis_id,j5aeeay27533442
pvalue,0.3500995
