parameter_name,Lean/Body weight
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.2321362
parameter_id,IMPC_DXA_008_001
analysis_id,t386gt7r9444w5k
gene_symbol,Npbwr1
gene_accession_id,MGI:891989
