analysis_id,91aeac66w3i6987
gene_symbol,Col6a3
mouse_strain,C57BL
parameter_id,IMPC_GEL_006_001
parameter_name,Pericardium Morphology
pvalue,0.7243699
mouse_life_stage,Early adult
gene_accession_id,MGI:88461
