pvalue,0.7057291
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_017_001
gene_accession_id,MGI:88461
parameter_name,Lens Opacity
gene_symbol,Col6a3
mouse_strain,C57BL
analysis_id,640g3k5qt60r667
