gene_symbol,Opn3
parameter_name,Retina (combined)
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1338022
pvalue,0.8528846
parameter_id,JAXLA_EYE_092_001
analysis_id,hqqae2954g46i95
