analysis_id,b88c3575hl2zg3q
parameter_name,Retina (combined)
parameter_id,IMPC_EYE_092_001
gene_symbol,Wars2
gene_accession_id,MGI:1917810
mouse_life_stage,E9.5
pvalue,0.1946336
mouse_strain,C57BL
