analysis_id,dt57tv19384s185
gene_symbol,Mecom
pvalue,0.769142
parameter_id,MGP_PBI_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
mouse_strain,C3H
parameter_name,Total T cell percentage
