analysis_id,2j2318vhi0w94r5
parameter_id,IMPC_GRS_011_001
mouse_strain,C57BL
gene_accession_id,MGI:1338022
pvalue,0.3179987
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
mouse_life_stage,Early adult
gene_symbol,Opn3
