gene_symbol,Lamb3
mouse_life_stage,Early adult
parameter_name,Lumbar processes
gene_accession_id,MGI:99915
mouse_strain,C57BL
parameter_id,IMPC_XRY_065_001
analysis_id,6p1a3rd7op9967u
pvalue,0.6842202
