parameter_name,Chloride
parameter_id,IMPC_CBC_003_001
pvalue,0.5897676
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,1gre8c21di40585
gene_accession_id,MGI:1917604
