gene_symbol,Maco1
parameter_id,IMPC_IMM_064_001
analysis_id,5427977pm66k5x8
pvalue,0.8699229
mouse_strain,C57BL
gene_accession_id,MGI:1913396
parameter_name,B1B Cells
mouse_life_stage,Early adult
