parameter_name,Vibrissae - appearance
parameter_id,HMGULA_DYS_024_001
pvalue,0.7924836
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
mouse_strain,C57BL
analysis_id,4eg22c4qrk2s32s
mouse_life_stage,Early adult
