parameter_name,HR
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2446274
analysis_id,5o949x7iglx7gni
parameter_id,IMPC_ECG_002_001
gene_symbol,FRMPD1
pvalue,0.810579
