parameter_id,JAXLA_CBC_015_001
analysis_id,9h6m2b86m43bppb
gene_symbol,Col6a3
parameter_name,Total cholesterol
gene_accession_id,MGI:88461
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.8168865
