analysis_id,055341q6p2w6735
gene_symbol,Tbl1xr1
parameter_name,CV
mouse_strain,C57BL
pvalue,0.7422198
gene_accession_id,MGI:2441730
mouse_life_stage,Early adult
parameter_id,IMPC_ECG_003_001
