parameter_name,cDCs CD11b Type
pvalue,0.5350527
mouse_life_stage,E15.5
parameter_id,IMPC_IMM_073_001
gene_symbol,Mecom
analysis_id,h9y800h9s10491c
mouse_strain,C57BL
gene_accession_id,MGI:95457
