parameter_id,MGP_MLN_066_001
parameter_name,Effector CD4+ T helper cells - % of CD45+
gene_accession_id,MGI:1931749
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_symbol,Pum1
pvalue,0.1496073
analysis_id,4e21ln805f2h979
