gene_symbol,Cmpk1
parameter_id,IMPC_GPP_004_001
pvalue,0.1923435
parameter_name,Placenta Size
analysis_id,nbc7y37h99o67pq
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
mouse_strain,C57BL
