parameter_id,ESLIM_008_001_017
mouse_strain,C57BL
gene_accession_id,MGI:1914561
mouse_life_stage,E18.5
pvalue,0.8589574
gene_symbol,Nanp
analysis_id,6900t8ftgxwn8l7
parameter_name,Limb grasping
