parameter_name,Light side time spent
parameter_id,JAX_LDT_002_001
mouse_strain,C57BL
analysis_id,5d214xnp37vq8ig
gene_accession_id,MGI:105073
mouse_life_stage,Early adult
gene_symbol,Tnni1
pvalue,0.4082116
