parameter_name,Eye
gene_symbol,Eprs1
mouse_strain,C57BL
pvalue,0.2507816
parameter_id,IMPC_EYE_001_001
gene_accession_id,MGI:97838
mouse_life_stage,E12.5
analysis_id,1twvf8zia22vf0j
