parameter_name,Limb grasp
mouse_life_stage,Early adult
mouse_strain,C51BL
analysis_id,xcu9x7nq8n75x50
gene_accession_id,MGI:107794
parameter_id,JAXLA_CSD_039_001
gene_symbol,Zfp69
pvalue,0.325341
