parameter_name,Caudal processes
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1363206
gene_symbol,Mms22l
parameter_id,IMPC_XRY_067_001
gene_accession_id,MGI:2684980
analysis_id,4m01tg6q4bt429d
