analysis_id,x3yi56072p72b1q
pvalue,0.5425901
parameter_id,IMPC_ECG_008_001
mouse_strain,C57BL
gene_accession_id,MGI:1924315
gene_symbol,Ints7
mouse_life_stage,Early adult
parameter_name,ST
