parameter_name,Vocalization
parameter_id,IMPC_CSD_078_001
gene_accession_id,MGI:88328
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.2532934
analysis_id,n24mg7o9cr731az
gene_symbol,Tnfsf8
