gene_symbol,Dnajc6
gene_accession_id,MGI:1919935
pvalue,0.3961492
mouse_strain,C57BL
analysis_id,w6bv1u82772h31w
mouse_life_stage,Early adult
parameter_name,KLRG1+ CD8+ T cells - % of CD8+
parameter_id,MGP_IMM_017_001
