analysis_id,vvnx7t86192r77n
pvalue,0.8108244
gene_symbol,Abo
parameter_name,Effector CD4- NKT cells - % of CD4- NKT cells
gene_accession_id,MGI:2135738
mouse_life_stage,Early adult
parameter_id,MGP_IMM_026_001
mouse_strain,C57BL
