analysis_id,69166egcqgy8r74
parameter_id,MGP_MLN_009_001
gene_symbol,Clvs1
gene_accession_id,MGI:1921688
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Effector Treg cells - % of Treg
pvalue,0.3978303
