parameter_name,Ulna
parameter_id,IMPC_XRY_023_001
pvalue,0.8275019
gene_symbol,AU040320
analysis_id,2o9t42c8dks4z66
gene_accession_id,MGI:2140475
mouse_life_stage,Early adult
mouse_strain,C57BL
