analysis_id,f0l9v749jan7452
parameter_id,MGP_PBI_002_001
gene_symbol,Cd52
gene_accession_id,MGI:1346088
pvalue,0.8983579
mouse_strain,C57BL
parameter_name,Alpha beta T cell percentage
mouse_life_stage,Early adult
