parameter_id,JAXLA_HBD_001_001
mouse_strain,C3H
mouse_life_stage,Early adult
gene_accession_id,MGI:95457
analysis_id,zc7i83otgh4k4p1
parameter_name,Total holepokes
pvalue,0.6155075
gene_symbol,Mecom
