analysis_id,pae4p2768mthw0u
gene_accession_id,MGI:105072
mouse_strain,C57BL
pvalue,0.2348874
parameter_name,Body position
gene_symbol,RAB22A
parameter_id,ESLIM_008_001_001
mouse_life_stage,Early adult
