gene_symbol,Trp53i11
gene_accession_id,MGI:2670995
mouse_strain,C57BL
pvalue,0.9828193
parameter_id,JAX_OFD_014_001
mouse_life_stage,Early adult
parameter_name,Center distance travelled
analysis_id,30114cs2b9j2e18
