parameter_name,Hindpaw - size
parameter_id,JAXLA_CSD_041_002
mouse_strain,C57BL
analysis_id,5308g5nze663jbh
pvalue,0.5244627
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
mouse_life_stage,E18.5
