parameter_name,Sodium
parameter_id,IMPC_CBC_001_001
pvalue,0.4583744
mouse_strain,129SV
gene_accession_id,MGI:1332236
mouse_life_stage,Early adult
analysis_id,0j74ug8x22inn5l
gene_symbol,Cds2
