parameter_name,Fractional Shortening
mouse_life_stage,Early adult
parameter_id,IMPC_ECH_005_001
analysis_id,em3hhw9w79n48rd
gene_accession_id,MGI:1917604
gene_symbol,Secisbp2l
mouse_strain,C57BL
pvalue,0.1998002
