parameter_name,Center permanence time
mouse_strain,C57BL
parameter_id,JAX_OFD_016_001
gene_accession_id,MGI:1336200
mouse_life_stage,Early adult
pvalue,0.5049451
gene_symbol,Hpca
analysis_id,ftiv20r353u8375
