parameter_name,Neutrophil percentage
gene_accession_id,MGI:1328306
analysis_id,n4a94793428p703
mouse_strain,C57BL
parameter_id,MGP_PBI_019_001
gene_symbol,Orc2
pvalue,0.2077206
mouse_life_stage,E9.5
