parameter_name,Magnesium
analysis_id,95a4h3546x7c7gs
parameter_id,M-G-P_025_001_030
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.05661556
gene_symbol,Sprr1b
gene_accession_id,MGI:106659
