parameter_name,Light side time spent
gene_accession_id,MGI:1931322
mouse_life_stage,Early adult
pvalue,0.6883342
analysis_id,k1512ec7c52sohr
gene_symbol,Car13
mouse_strain,C57BL
parameter_id,JAX_LDT_002_001
