parameter_name,Thoracic processes
gene_accession_id,MGI:3045306
gene_symbol,Exd1
pvalue,0.5916639
mouse_strain,C57BL
analysis_id,ln5923ba5op5u29
mouse_life_stage,Early adult
parameter_id,IMPC_XRY_064_001
