parameter_name,Caudal processes
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.9174874
analysis_id,ndyupkj304xa8vc
parameter_id,IMPC_XRY_067_001
gene_symbol,Kif24
gene_accession_id,MGI:1918345
