mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:104848
analysis_id,4b14y3v26o082cp
gene_symbol,Inpp1
parameter_name,Body Weight
pvalue,0.4836434
parameter_id,M-G-P_012_001_005
