analysis_id,ngw0b98x1p533ep
gene_accession_id,MGI:88174
mouse_strain,C57BL
mouse_life_stage,E12.5
pvalue,0.5003843
parameter_id,IMPC_EYE_007_001
gene_symbol,Bmi1
parameter_name,Cornea
