gene_symbol,Pglyrp3
pvalue,0.6845924
mouse_life_stage,Early adult
parameter_name,Resting CD4- NKT cells - % of CD4- NKT cells
parameter_id,MGP_IMM_027_001
gene_accession_id,MGI:2685266
analysis_id,3d35r451gmyh7m0
mouse_strain,C57BL
