parameter_id,IMPC_IMM_069_001
gene_accession_id,MGI:2446186
parameter_name,Transitional B Cells (CD21/35 low)
analysis_id,8x1nfj0681t245r
mouse_strain,C57BL
pvalue,0.5742416
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
